Entity, Code, Year,us,international
Afghanistan,AFG,2003,198.7285436,922.8294492
Afghanistan,AFG,2004,219.1413528,916.3344748
Afghanistan,AFG,2005,250.2941299,1011.595524
Afghanistan,AFG,2006,272.563077,1065.619665
Afghanistan,AFG,2007,369.835796,1210.479265
Afghanistan,AFG,2008,373.3611163,1247.066144
Afghanistan,AFG,2009,445.8932979,1482.098837
Afghanistan,AFG,2010,553.3002894,1581.600836
Afghanistan,AFG,2011,603.5370231,1660.739856
Afghanistan,AFG,2012,669.0090509,1873.153946
Afghanistan,AFG,2013,631.7449706,1877.411953
Albania,ALB,2003,1890.681557,5114.784779
Albania,ALB,2004,2416.588235,5524.921661
Albania,ALB,2005,2709.142931,5942.870083
Albania,ALB,2006,3005.012903,6634.779222
Albania,ALB,2007,3603.013685,7289.632366
Albania,ALB,2008,4370.539647,8228.357428
Albania,ALB,2009,4114.136545,8823.802984
Albania,ALB,2010,4094.358832,9646.615727
Albania,ALB,2011,4437.178068,10207.70067
Albania,ALB,2012,4247.614308,10526.24833
Albania,ALB,2013,4414.72314,10584.44692
Algeria,DZA,2003,2094.335506,9620.872056
Algeria,DZA,2004,2598.908023,10176.37006
Algeria,DZA,2005,3100.122378,10971.51742
Algeria,DZA,2006,3464.610079,11332.44961
Algeria,DZA,2007,3935.183343,11843.36358
Algeria,DZA,2008,4905.254866,12161.89916
Algeria,DZA,2009,3868.83123,12241.81055
Algeria,DZA,2010,4463.394675,12609.86941
Algeria,DZA,2011,5432.250203,12989.95496
Algeria,DZA,2012,5564.82566,13404.00929
Algeria,DZA,2013,5471.866766,13715.33174
American Samoa,ASM,2003,8914.525433,
American Samoa,ASM,2004,8639.308855,
American Samoa,ASM,2005,8508.406915,
American Samoa,ASM,2006,8456.947997,
American Samoa,ASM,2007,8980.536414,
American Samoa,ASM,2008,9871.997194,
American Samoa,ASM,2009,12058.26382,
American Samoa,ASM,2010,10352.82276,
American Samoa,ASM,2011,10375.99422,
American Samoa,ASM,2012,11660.32953,
American Samoa,ASM,2013,11553.69121,
Andorra,AND,2003,32438.6839,
Andorra,AND,2004,38255.9505,
Andorra,AND,2005,41185.98902,
Andorra,AND,2006,43666.98514,
Andorra,AND,2007,48510.46728,
Andorra,AND,2008,47712.29908,
Andorra,AND,2009,43215.68701,
Andorra,AND,2010,39627.66352,
Andorra,AND,2011,40919.18328,
Andorra,AND,2012,38167.09575,
Andorra,AND,2013,40215.43532,
Angola,AGO,2003,779.4683056,2715.943441
Angola,AGO,2004,1041.086844,2985.598585
Angola,AGO,2005,1443.991929,3516.402658
Angola,AGO,2006,2062.415149,4222.663033
Angola,AGO,2007,2878.837144,5128.361253
Angola,AGO,2008,3868.578883,5743.110048
Angola,AGO,2009,3347.84485,5718.694408
Angola,AGO,2010,3529.053482,5775.864013
Angola,AGO,2011,4299.012889,5911.254334
Angola,AGO,2012,4598.249988,6109.136612
Angola,AGO,2013,4804.616884,6400.673376
Antigua and Barbuda,ATG,2003,9739.82556,15368.73406
Antigua and Barbuda,ATG,2004,10352.8374,16526.52686
Antigua and Barbuda,ATG,2005,11371.93895,17928.46708
Antigua and Barbuda,ATG,2006,12724.39377,20603.61598
Antigua and Barbuda,ATG,2007,14252.29452,22843.67155
Antigua and Barbuda,ATG,2008,14703.31923,23026.45521
Antigua and Barbuda,ATG,2009,13012.46692,20168.36639
Antigua and Barbuda,ATG,2010,12126.87614,18760.63337
Antigua and Barbuda,ATG,2011,11929.34991,18602.42536
Antigua and Barbuda,ATG,2012,12565.44197,19457.04146
Antigua and Barbuda,ATG,2013,12224.86416,19520.52693
Argentina,ARG,2003,3330.437006,11217.57193
Argentina,ARG,2004,4251.574348,12430.71372
Argentina,ARG,2005,5076.883829,13817.71407
Argentina,ARG,2006,5878.761027,15227.5125
Argentina,ARG,2007,7193.61764,16865.54476
Argentina,ARG,2008,8953.359275,17711.44179
Argentina,ARG,2009,8161.306966,16618.12085
Argentina,ARG,2010,10276.2605,18333.5437
Argentina,ARG,2011,12726.90836,19629.35185
Argentina,ARG,2012,12969.70712,19579.00648
Argentina,ARG,2013,12976.63642,20161.49683
Armenia,ARM,2003,930.1661567,3531.968643
Armenia,ARM,2004,1191.96192,4031.947204
Armenia,ARM,2005,1643.758397,4769.489004
Armenia,ARM,2006,2158.002909,5607.645869
Armenia,ARM,2007,3138.808703,6605.216696
Armenia,ARM,2008,4010.026997,7260.968756
Armenia,ARM,2009,2993.832531,6323.578336
Armenia,ARM,2010,3218.381655,6567.258582
Armenia,ARM,2011,3526.978143,7022.103943
Armenia,ARM,2012,3684.80481,7649.491409
Armenia,ARM,2013,3843.591213,7997.387128
Aruba,ABW,2003,20834.5102,
Aruba,ABW,2004,22567.82492,
Aruba,ABW,2005,23302.83199,
Aruba,ABW,2006,24014.94427,
Aruba,ABW,2007,25921.02605,
Aruba,ABW,2008,27546.89939,
Aruba,ABW,2009,24631.43486,
Aruba,ABW,2010,24271.94042,
Aruba,ABW,2011,25324.72036,35973.78051
Australia,AUS,2003,23465.38559,29723.68385
Australia,AUS,2004,30472.37977,31345.22087
Australia,AUS,2005,34016.71483,32591.80935
Australia,AUS,2006,36118.28381,34356.76641
Australia,AUS,2007,40991.98289,36596.00841
Australia,AUS,2008,49664.68504,37506.90682
Australia,AUS,2009,42742.99898,40282.31372
Australia,AUS,2010,51874.08048,39191.03563
Australia,AUS,2011,62245.10029,41782.28494
Australia,AUS,2012,67677.63477,42616.14892
Australia,AUS,2013,67792.30386,45668.68911
Austria,AUT,2003,32102.93055,31987.22057
Austria,AUT,2004,36693.40262,33649.41335
Austria,AUT,2005,38242.04252,34866.84044
Austria,AUT,2006,40430.99361,37455.51021
Austria,AUT,2007,46586.65025,39150.87728
Austria,AUT,2008,51386.37665,41058.63054
Austria,AUT,2009,47654.18721,40704.40971
Austria,AUT,2010,46657.0629,41906.72959
Austria,AUT,2011,51126.74139,44237.96032
Austria,AUT,2012,48333.57273,46233.39624
Austria,AUT,2013,50504.71532,47721.73728
Azerbaijan,AZE,2003,883.6439965,4945.907916
Azerbaijan,AZE,2004,1045.02163,5551.448842
Azerbaijan,AZE,2005,1578.40239,7169.150431
Azerbaijan,AZE,2006,2473.085776,9830.162606
Azerbaijan,AZE,2007,3851.437869,12477.38469
Azerbaijan,AZE,2008,5574.603802,13799.78614
Azerbaijan,AZE,2009,4950.294791,14900.50866
Azerbaijan,AZE,2010,5842.805784,15627.60562
Azerbaijan,AZE,2011,7189.691229,15754.15236
Azerbaijan,AZE,2012,7496.335728,16180.88715
Azerbaijan,AZE,2013,7875.756953,17171.76137
Bahamas,BHS,2003,22009.20043,21305.85807
Bahamas,BHS,2004,21996.40649,21620.72728
Bahamas,BHS,2005,23405.45302,22602.9565
Bahamas,BHS,2006,23719.10788,23415.71172
Bahamas,BHS,2007,24301.24325,23923.70871
Bahamas,BHS,2008,23652.33053,23392.28616
Bahamas,BHS,2009,22037.10801,22191.1746
Bahamas,BHS,2010,21921.55906,22431.92995
Bahamas,BHS,2011,21523.97372,22674.72782
Bahamas,BHS,2012,22575.59019,23453.63549
Bahamas,BHS,2013,22590.39338,23506.78727
Bahrain,BHR,2003,14221.99259,36696.27589
Bahrain,BHR,2004,15846.47641,37851.82644
Bahrain,BHR,2005,17959.17854,38931.43524
Bahrain,BHR,2006,19307.99549,39636.41148
Bahrain,BHR,2007,20977.11053,40769.79102
Bahrain,BHR,2008,23067.56535,41047.16083
Bahrain,BHR,2009,19356.67236,39888.46819
Bahrain,BHR,2010,20722.10389,40230.2311
Bahrain,BHR,2011,22810.10242,40696.15097
Bahrain,BHR,2012,23649.36661,42208.65305
Bahrain,BHR,2013,25010.18329,44657.79592
Bangladesh,BGD,2003,432.7388972,1491.023592
Bangladesh,BGD,2004,460.7579167,1586.182168
Bangladesh,BGD,2005,484.1554071,1718.402873
Bangladesh,BGD,2006,494.0501466,1864.194503
Bangladesh,BGD,2007,541.0651484,2024.232095
Bangladesh,BGD,2008,615.7775411,2163.554427
Bangladesh,BGD,2009,681.1205368,2264.871499
Bangladesh,BGD,2010,757.6717572,2393.315832
Bangladesh,BGD,2011,835.7893401,2570.850145
Bangladesh,BGD,2012,856.342857,2756.443467
Bangladesh,BGD,2013,951.8894535,2934.644352
Barbados,BRB,2003,12028.50447,12080.7245
Barbados,BRB,2004,12868.86309,12549.13585
Barbados,BRB,2005,14223.86576,13421.38546
Barbados,BRB,2006,15646.05591,14563.16062
Barbados,BRB,2007,16462.48556,15153.29816
Barbados,BRB,2008,16570.32028,15446.34715
Barbados,BRB,2009,16523.32388,14872.99151
Barbados,BRB,2010,15905.91232,15035.18703
Barbados,BRB,2011,15534.15704,15404.78523
Barbados,BRB,2012,15384.8749,15680.37656
Barbados,BRB,2013,15472.7814,15870.04741
Belarus,BLR,2003,1819.525644,7616.458844
Belarus,BLR,2004,2378.339207,8781.636314
Belarus,BLR,2005,3126.071767,9984.192417
Belarus,BLR,2006,3848.215966,11389.5515
Belarus,BLR,2007,4735.484827,12756.63445
Belarus,BLR,2008,6376.183153,14383.16685
Belarus,BLR,2009,5176.172649,14553.79551
Belarus,BLR,2010,6030.388707,15906.75608
Belarus,BLR,2011,6519.710753,17166.69564
Belarus,BLR,2012,6940.243915,17801.91843
Belarus,BLR,2013,7978.825443,18271.75389
Belgium,BEL,2003,30743.95693,31054.64356
Belgium,BEL,2004,35589.71295,32260.7729
Belgium,BEL,2005,36967.28292,33332.35275
Belgium,BEL,2006,38852.36103,35406.6228
Belgium,BEL,2007,44403.83131,36858.19332
Belgium,BEL,2008,48424.58927,38133.51223
Belgium,BEL,2009,44880.56015,38047.67727
Belgium,BEL,2010,44380.23741,40129.42633
Belgium,BEL,2011,47702.77415,41248.6927
Belgium,BEL,2012,44740.5717,42354.62056
Belgium,BEL,2013,46510.38647,43452.24758
Belize,BLZ,2003,3679.909523,6479.777791
Belize,BLZ,2004,3831.538019,6791.957312
Belize,BLZ,2005,3933.332215,7008.805746
Belize,BLZ,2006,4187.37803,7361.074138
Belize,BLZ,2007,4324.876427,7444.302526
Belize,BLZ,2008,4470.220796,7636.841357
Belize,BLZ,2009,4258.788611,7558.047851
Belize,BLZ,2010,4344.150177,7715.950318
Belize,BLZ,2011,4516.24675,7855.698287
Belize,BLZ,2012,4673.63848,8121.152942
Belize,BLZ,2013,4688.538443,8179.049883
Benin,BEN,2003,519.2922847,1456.364545
Benin,BEN,2004,583.4093514,1516.430287
Benin,BEN,2005,601.799977,1545.698265
Benin,BEN,2006,625.830092,1608.772887
Benin,BEN,2007,706.0535419,1701.207073
Benin,BEN,2008,820.1513498,1768.803598
Benin,BEN,2009,793.45243,1773.053298
Benin,BEN,2010,757.6959074,1781.987066
Benin,BEN,2011,825.9427854,1820.894693
Benin,BEN,2012,837.9505001,1890.02902
Benin,BEN,2013,915.2674586,2002.051409
Bermuda,BMU,2003,66111.72523,45797.32036
Bermuda,BMU,2004,70359.31911,47835.43923
Bermuda,BMU,2005,75882.03386,49877.28411
Bermuda,BMU,2006,83912.6978,53949.42371
Bermuda,BMU,2007,90849.58698,56640.989
Bermuda,BMU,2008,93605.74817,58288.61209
Bermuda,BMU,2009,88463.31282,55320.16171
Bermuda,BMU,2010,88207.32756,55254.21412
Bermuda,BMU,2011,85973.15842,54984.51039
Bermuda,BMU,2012,85458.45551,53097.69629
Bermuda,BMU,2013,85748.06541,52436.05641
Bhutan,BTN,2003,997.7417141,3524.926753
Bhutan,BTN,2004,1097.457088,3734.48887
Bhutan,BTN,2005,1247.061392,4026.341876
Bhutan,BTN,2006,1335.456906,4331.461906
Bhutan,BTN,2007,1741.142552,5131.410377
Bhutan,BTN,2008,1795.181307,5372.132429
Bhutan,BTN,2009,1770.234497,5664.127805
Bhutan,BTN,2010,2178.921383,6289.814364
Bhutan,BTN,2011,2458.045976,6805.878456
Bhutan,BTN,2012,2422.008016,7162.293474
Bhutan,BTN,2013,2350.882889,7317.337414
Bolivia,BOL,2003,917.3643105,3753.050849
Bolivia,BOL,2004,978.3346485,3946.708576
Bolivia,BOL,2005,1046.427384,4180.318235
Bolivia,BOL,2006,1233.594435,4438.62465
Bolivia,BOL,2007,1389.634888,4684.94245
Bolivia,BOL,2008,1736.935051,4986.880533
Bolivia,BOL,2009,1776.866476,5108.873594
Bolivia,BOL,2010,1981.160705,5298.084512
Bolivia,BOL,2011,2377.675918,5598.508445
Bolivia,BOL,2012,2645.227753,5899.641861
Bolivia,BOL,2013,2947.938526,6303.06642
Bosnia and Herzegovina,BIH,2003,2214.732246,5348.659008
Bosnia and Herzegovina,BIH,2004,2650.642661,5842.693488
Bosnia and Herzegovina,BIH,2005,2968.411806,6453.161247
Bosnia and Herzegovina,BIH,2006,3404.321698,7384.143684
Bosnia and Herzegovina,BIH,2007,4180.292176,8159.894701
Bosnia and Herzegovina,BIH,2008,5075.316064,9001.146968
Bosnia and Herzegovina,BIH,2009,4697.809732,9007.303999
Bosnia and Herzegovina,BIH,2010,4611.470298,9317.07052
Bosnia and Herzegovina,BIH,2011,5050.156834,9893.37823
Bosnia and Herzegovina,BIH,2012,4716.673325,10170.41572
Bosnia and Herzegovina,BIH,2013,5035.86555,10821.20534
Botswana,BWA,2003,4163.065906,9314.395714
Botswana,BWA,2004,4896.583835,9695.193424
Botswana,BWA,2005,5351.253732,10313.61119
Botswana,BWA,2006,5374.554867,11346.04949
Botswana,BWA,2007,5714.047937,12413.28568
Botswana,BWA,2008,5623.379566,13226.60648
Botswana,BWA,2009,5185.729845,12098.79299
Botswana,BWA,2010,6346.156204,13064.46623
Botswana,BWA,2011,7645.214609,13889.27047
Botswana,BWA,2012,7029.231453,14506.88523
Botswana,BWA,2013,7007.625783,16111.10914
Brazil,BRA,2003,3059.587582,9690.57941
Brazil,BRA,2004,3623.047667,10401.94138
Brazil,BRA,2005,4770.182746,10951.27478
Brazil,BRA,2006,5860.145975,11604.86355
Brazil,BRA,2007,7313.557962,12503.60928
Brazil,BRA,2008,8787.610375,13262.80054
Brazil,BRA,2009,8553.38047,13215.42568
Brazil,BRA,2010,11224.15408,14244.97879
Brazil,BRA,2011,13167.47289,14973.09847
Brazil,BRA,2012,12291.46685,15396.62234
Brazil,BRA,2013,12216.90446,15968.29208
Bulgaria,BGR,2003,2710.468024,8379.281786
Bulgaria,BGR,2004,3381.507837,9177.314687
Bulgaria,BGR,2005,3893.68998,10275.04993
Bulgaria,BGR,2006,4513.13628,11377.85564
Bulgaria,BGR,2007,5932.899677,12897.95386
Bulgaria,BGR,2008,7296.122479,14395.69769
Bulgaria,BGR,2009,6955.987733,14132.99163
