Entity,Year,Life expectancy
Afghanistan,2003,57.25
Afghanistan,2004,57.875
Afghanistan,2005,58.5
Afghanistan,2006,59.110001
Afghanistan,2007,59.694
Afghanistan,2008,60.243
Afghanistan,2009,60.754002
Afghanistan,2010,61.226002
Afghanistan,2011,61.666
Afghanistan,2012,62.085999
Afghanistan,2013,62.493999
Albania,2003,74.82
Albania,2004,75.028
Albania,2005,75.217003
Albania,2006,75.417999
Albania,2007,75.655998
Albania,2008,75.943001
Albania,2009,76.280998
Albania,2010,76.652
Albania,2011,77.030998
Albania,2012,77.389
Albania,2013,77.702003
Algeria,2003,71.779999
Algeria,2004,72.280998
Algeria,2005,72.766998
Algeria,2006,73.224998
Algeria,2007,73.648003
Algeria,2008,74.031998
Algeria,2009,74.374001
Algeria,2010,74.676003
Algeria,2011,74.944
Algeria,2012,75.186996
Algeria,2013,75.417999
Angola,2003,50.507999
Angola,2004,51.675999
Angola,2005,52.833
Angola,2006,53.973999
Angola,2007,55.096001
Angola,2008,56.188999
Angola,2009,57.230999
Angola,2010,58.192001
Angola,2011,59.042
Angola,2012,59.77
Angola,2013,60.373001
Antigua and Barbuda,2003,74.157997
Antigua and Barbuda,2004,74.353996
Antigua and Barbuda,2005,74.543999
Antigua and Barbuda,2006,74.726997
Antigua and Barbuda,2007,74.904999
Antigua and Barbuda,2008,75.078003
Antigua and Barbuda,2009,75.247002
Antigua and Barbuda,2010,75.412003
Antigua and Barbuda,2011,75.573997
Antigua and Barbuda,2012,75.733002
Antigua and Barbuda,2013,75.891998
Argentina,2003,74.424004
Argentina,2004,74.602997
Argentina,2005,74.775002
Argentina,2006,74.941002
Argentina,2007,75.105003
Argentina,2008,75.267998
Argentina,2009,75.431
Argentina,2010,75.595001
Argentina,2011,75.761002
Argentina,2012,75.926003
Argentina,2013,76.088997
Armenia,2003,72.347
Armenia,2004,72.512001
Armenia,2005,72.625
Armenia,2006,72.714996
Armenia,2007,72.815002
Armenia,2008,72.945999
Armenia,2009,73.119003
Armenia,2010,73.331001
Armenia,2011,73.570999
Armenia,2012,73.814003
Armenia,2013,74.043999
Aruba,2003,74.038002
Aruba,2004,74.155998
Aruba,2005,74.287003
Aruba,2006,74.429001
Aruba,2007,74.575996
Aruba,2008,74.724998
Aruba,2009,74.872002
Aruba,2010,75.015999
Aruba,2011,75.157997
Aruba,2012,75.299004
Aruba,2013,75.440002
Australia,2003,80.452003
Australia,2004,80.712997
Australia,2005,80.955002
Australia,2006,81.175003
Australia,2007,81.376999
Australia,2008,81.565002
Australia,2009,81.741997
Australia,2010,81.910004
Australia,2011,82.072998
Australia,2012,82.234001
Australia,2013,82.394997
Australia/New Zealand,2003,80.239998
Australia/New Zealand,2004,80.502998
Australia/New Zealand,2005,80.748001
Australia/New Zealand,2006,80.973
Australia/New Zealand,2007,81.18
Australia/New Zealand,2008,81.375
Australia/New Zealand,2009,81.557999
Australia/New Zealand,2010,81.733002
Australia/New Zealand,2011,81.901001
Australia/New Zealand,2012,82.067001
Australia/New Zealand,2013,82.231003
Austria,2003,79.058998
Austria,2004,79.318001
Austria,2005,79.566002
Austria,2006,79.799004
Austria,2007,80.015999
Austria,2008,80.218002
Austria,2009,80.406998
Austria,2010,80.584
Austria,2011,80.752998
Austria,2012,80.917999
Austria,2013,81.083
Azerbaijan,2003,67.791
Azerbaijan,2004,68.249001
Azerbaijan,2005,68.75
Azerbaijan,2006,69.268997
Azerbaijan,2007,69.774002
Azerbaijan,2008,70.237999
Azerbaijan,2009,70.646004
Azerbaijan,2010,70.987
Azerbaijan,2011,71.260002
Azerbaijan,2012,71.477997
Azerbaijan,2013,71.655998
Bahamas,2003,73.264
Bahamas,2004,73.538002
Bahamas,2005,73.787003
Bahamas,2006,74.012001
Bahamas,2007,74.218002
Bahamas,2008,74.410004
Bahamas,2009,74.591003
Bahamas,2010,74.761002
Bahamas,2011,74.922997
Bahamas,2012,75.079002
Bahamas,2013,75.230003
Bahrain,2003,74.999001
Bahrain,2004,75.167
Bahrain,2005,75.325996
Bahrain,2006,75.477997
Bahrain,2007,75.625
Bahrain,2008,75.769997
Bahrain,2009,75.913002
Bahrain,2010,76.056
Bahrain,2011,76.198997
Bahrain,2012,76.341003
Bahrain,2013,76.482002
Bangladesh,2003,66.964996
Bangladesh,2004,67.459999
Bangladesh,2005,67.936996
Bangladesh,2006,68.403
Bangladesh,2007,68.861
Bangladesh,2008,69.311996
Bangladesh,2009,69.759003
Bangladesh,2010,70.197998
Bangladesh,2011,70.625999
Bangladesh,2012,71.039001
Bangladesh,2013,71.431
Barbados,2003,73.847
Barbados,2004,74.003998
Barbados,2005,74.163002
Barbados,2006,74.323997
Barbados,2007,74.486
