Entity,Code,Year, (% of GDP)
Afghanistan,2003,8.81605343,
Afghanistan,2004,8.78670722,
Afghanistan,2005,8.06810435,
Afghanistan,2006,7.43397155,
Afghanistan,2007,6.72831635,
Afghanistan,2008,8.32809334,
Afghanistan,2009,9.41897064,
Afghanistan,2010,9.19772273,
Afghanistan,2011,7.87199189,
Afghanistan,2012,8.51891268,
Afghanistan,2013,8.13486556,
Albania,2003,6.26700723,
Albania,2004,6.37953469,
Albania,2005,6.11631076,
Albania,2006,5.86129625,
Albania,2007,6.10393525,
Albania,2008,5.86941616,
Albania,2009,5.79133946,
Albania,2010,5.33503501,
Albania,2011,5.71466526,
Albania,2012,5.58917285,
Albania,2013,5.65513948,
Algeria,2003,3.60102674,
Algeria,2004,3.54406326,
Algeria,2005,3.23516801,
Algeria,2006,3.35511843,
Algeria,2007,3.82141191,
Algeria,2008,4.20191141,
Algeria,2009,5.35942501,
Algeria,2010,5.11715468,
Algeria,2011,5.29292834,
Algeria,2012,6.14311272,
Algeria,2013,7.12438268,
Andorra,2003,5.74503291,
Andorra,2004,5.70388241,
Andorra,2005,5.22335314,
Andorra,2006,5.31389324,
Andorra,2007,6.33545578,
Andorra,2008,6.5674086,
Andorra,2009,6.75968963,
Andorra,2010,7.99926652,
Andorra,2011,6.70379149,
Andorra,2012,7.54733741,
Andorra,2013,11.4780464,
Angola,2003,4.40528442,
Angola,2004,4.70732007,
Angola,2005,4.10396002,
Angola,2006,4.54243749,
Angola,2007,3.38311163,
Angola,2008,3.84493395,
Angola,2009,4.37177378,
Angola,2010,3.39114609,
Angola,2011,3.3795827,
Angola,2012,3.30479422,
Angola,2013,4.26303169,
Antigua and Barbuda,2003,4.53434099,
Antigua and Barbuda,2004,4.20698542,
Antigua and Barbuda,2005,4.41010035,
Antigua and Barbuda,2006,4.34002161,
Antigua and Barbuda,2007,4.26972324,
Antigua and Barbuda,2008,4.69201433,
Antigua and Barbuda,2009,4.86206202,
Antigua and Barbuda,2010,5.6285144,
Antigua and Barbuda,2011,5.64852918,
Antigua and Barbuda,2012,5.38593825,
Antigua and Barbuda,2013,5.33222783,
Argentina,2003,8.21606274,
Argentina,2004,6.84056093,
Argentina,2005,6.84561938,
Argentina,2006,6.68187054,
Argentina,2007,6.49458405,
Argentina,2008,6.66371839,
Argentina,2009,7.63475841,
Argentina,2010,6.55015616,
Argentina,2011,5.89274265,
Argentina,2012,5.01904817,
Argentina,2013,4.98687258,
Armenia,2003,5.56388068,
Armenia,2004,5.50118169,
Armenia,2005,5.25211644,
Armenia,2006,4.57775072,
Armenia,2007,4.30883082,
Armenia,2008,3.79932298,
Armenia,2009,4.54532341,
Armenia,2010,4.56226302,
Armenia,2011,3.71354097,
Armenia,2012,4.48215825,
Armenia,2013,4.55022679,
Australia,2003,8.31845119,
Australia,2004,8.57432053,
Australia,2005,8.45389263,
Australia,2006,8.49118995,
Australia,2007,8.5306305,
Australia,2008,8.78349607,
Australia,2009,9.04605596,
Australia,2010,9.01527191,
Australia,2011,9.19934655,
Australia,2012,9.35738514,
Australia,2013,9.36373848,
Austria,2003,10.48033992,
Austria,2004,10.55988254,
Austria,2005,10.53141508,
Austria,2006,10.35154773,
Austria,2007,10.40127692,
Austria,2008,10.60392998,
Austria,2009,11.19443731,
Austria,2010,11.16524816,
Austria,2011,10.93557307,
Austria,2012,11.16821981,
Austria,2013,11.1377909,
Azerbaijan,2003,6.56328804,
Azerbaijan,2004,7.92454395,
Azerbaijan,2005,7.8639081,
Azerbaijan,2006,6.16806759,
Azerbaijan,2007,5.09525293,
Azerbaijan,2008,4.37406647,
Azerbaijan,2009,5.85024048,
Azerbaijan,2010,5.3336001,
Azerbaijan,2011,5.00932503,
Azerbaijan,2012,5.36689762,
Azerbaijan,2013,5.53755045,
Bahamas,2003,5.6180021,
Bahamas,2004,6.02453452,
Bahamas,2005,5.95416502,
Bahamas,2006,6.93251788,
Bahamas,2007,7.07559268,
Bahamas,2008,7.3029743,
Bahamas,2009,7.4319201,
Bahamas,2010,7.43658423,
Bahamas,2011,7.63371738,
Bahamas,2012,7.43010401,
Bahamas,2013,7.04554853,
Bahrain,2003,3.73972896,
Bahrain,2004,3.36600777,
Bahrain,2005,3.15804988,
Bahrain,2006,3.07675509,
Bahrain,2007,3.07767478,
Bahrain,2008,3.16848651,
Bahrain,2009,3.786504,
Bahrain,2010,3.63764959,
Bahrain,2011,3.40195337,
Bahrain,2012,4.36591164,
Bahrain,2013,4.68637938,
Bangladesh,2003,2.51003846,
Bangladesh,2004,2.61548602,
Bangladesh,2005,2.67725039,
Bangladesh,2006,2.79623022,
Bangladesh,2007,2.79895606,
Bangladesh,2008,2.84653391,
Bangladesh,2009,2.90958368,
Bangladesh,2010,3.06355993,
Bangladesh,2011,3.155874,
Bangladesh,2012,3.08120807,
Bangladesh,2013,2.88285726,
Barbados,2003,5.81503159,
Barbados,2004,5.71254394,
Barbados,2005,5.37770788,
Barbados,2006,5.27479782,
Barbados,2007,5.63907522,
Barbados,2008,6.01496305,
Barbados,2009,6.21396814,
Barbados,2010,6.16899137,
Barbados,2011,6.66975378,
Barbados,2012,7.42925203,
Barbados,2013,7.5687307,
Belarus,2003,6.58928033,
Belarus,2004,6.58678934,
Belarus,2005,6.88634578,
Belarus,2006,6.33679804,
Belarus,2007,6.43772703,
Belarus,2008,5.94918995,
Belarus,2009,6.08504113,
Belarus,2010,5.55420409,
Belarus,2011,4.92365904,
Belarus,2012,5.00822363,
Belarus,2013,6.07206556,
Belgium,2003,9.30359795,
Belgium,2004,9.32102699,
Belgium,2005,9.24428757,
Belgium,2006,9.17112797,
Belgium,2007,9.25207442,
Belgium,2008,9.59842645,
Belgium,2009,10.39434014,
Belgium,2010,10.16564067,
Belgium,2011,10.42349563,
Belgium,2012,10.53975001,
Belgium,2013,10.57290301,
Belize,2003,4.5348229,
Belize,2004,4.39392269,
Belize,2005,4.45271318,
Belize,2006,4.40074319,
Belize,2007,4.76058357,
Belize,2008,5.09281839,
Belize,2009,5.80764478,
Belize,2010,5.84584806,
Belize,2011,5.60522062,
Belize,2012,5.45306037,
Belize,2013,5.79061965,
Benin,2003,4.63066141,
Benin,2004,4.56185468,
Benin,2005,4.73384847,
Benin,2006,4.75046608,
Benin,2007,4.54583981,
Benin,2008,4.19564004,
Benin,2009,4.46430984,
Benin,2010,4.94824039,
Benin,2011,5.36875255,
Benin,2012,4.85686602,
Benin,2013,4.59205377,
Bhutan,2003,4.9041054,
Bhutan,2004,4.40750213,
Bhutan,2005,5.28092275,
Bhutan,2006,5.26868823,
Bhutan,2007,5.87866065,
Bhutan,2008,6.57982434,
Bhutan,2009,6.02784218,
Bhutan,2010,5.17176159,
Bhutan,2011,4.73145771,
Bhutan,2012,3.70384573,
Bhutan,2013,3.82579516,
Bolivia,2003,5.30411075,
Bolivia,2004,5.21561551,
Bolivia,2005,5.66626332,
Bolivia,2006,5.19483534,
Bolivia,2007,4.96364424,
Bolivia,2008,5.00221817,
